location,sensor_type,value,unit,premise_type
вмещающие породы,CH4,3.45,m3/t,Пласт
выработанное пространство (суммарно),CH4,22.32,m3/t,Пласт
надрабатываемые пласты К2,CH4,6.84,m3/t,Пласт
первичная посадка пород,CH4,6.49,m3/t,Пласт
подрабатываемые пласты К3/5,CH4,3.11,m3/t,Пласт
подрабатываемые пласты К4,CH4,2.53,m3/t,Пласт
разрабатываемый пласт (выработанное пространство),CH4,2.43,m3/t,Пласт
разрабатываемый пласт (призабойное пространство),CH4,6.55,m3/t,Пласт
участок (суммарно),CH4,28.87,m3/t,Участок
